Time: Clubes, Código: 
Time: Liverpool, Código: 822bd0ba
Time: Arsenal, Código: 18bb7c10
Time: Nott'ham Forest, Código: e4a775cb
Time: Manchester City, Código: b8fd03ef
Time: Newcastle Utd, Código: b2b47a98
Time: Chelsea, Código: cff3d9bb
Time: Bournemouth, Código: 4ba7cbea
Time: Aston Villa, Código: 8602292d
Time: Brighton, Código: d07537b9
Time: Fulham, Código: fd962109
Time: Brentford, Código: cd051869
Time: Manchester Utd, Código: 19538871
Time: Crystal Palace, Código: 47c64c55
Time: West Ham, Código: 7c21e445
Time: Tottenham, Código: 361ca564
Time: Everton, Código: d3fd31cc
Time: Leicester City, Código: a2d435b3
Time: Wolves, Código: 8cec06e1
Time: Ipswich Town, Código: b74092de
Time: Southampton, Código: 33c895d4
Time: vs Arsenal, Código: 18bb7c10
Time: vs Aston Villa, Código: 8602292d
Time: vs Bournemouth, Código: 4ba7cbea
Time: vs Brentford, Código: cd051869
Time: vs Brighton, Código: d07537b9
Time: vs Chelsea, Código: cff3d9bb
Time: vs Crystal Palace, Código: 47c64c55
Time: vs Everton, Código: d3fd31cc
Time: vs Fulham, Código: fd962109
Time: vs Ipswich Town, Código: b74092de
Time: vs Leicester City, Código: a2d435b3
Time: vs Liverpool, Código: 822bd0ba
Time: vs Manchester City, Código: b8fd03ef
Time: vs Manchester Utd, Código: 19538871
Time: vs Newcastle Utd, Código: b2b47a98
Time: vs Nott'ham Forest, Código: e4a775cb
Time: vs Southampton, Código: 33c895d4
Time: vs Tottenham, Código: 361ca564
Time: vs West Ham, Código: 7c21e445
Time: vs Wolves, Código: 8cec06e1
Time: Manchester City (M), Código: b8fd03ef
Time: Real Madrid (M), Código: 53a2f082
Time: Paris Saint-Germain (M), Código: e2d8892c
Time: Bayern München (M), Código: 054efa67
Time: Internazionale (M), Código: d609edc0
Time: River Plate (M), Código: ef99c78c
Time: Central Coast Mariners (M), Código: 605aca82
Time: Red Bull Salzburg (M), Código: 50f2a074
Time: Union SG (M), Código: e14f61a5
Time: The Strongest (M), Código: 6dcc14bf
Time: Palmeiras (M), Código: abdce579
Time: Ludogorets Razgrad (M), Código: 488c6ba1
Time: Cavalry FC (M), Código: b0e76152
Time: Colo-Colo (M), Código: 2ff539f3
Time: Shanghai Port (M), Código: c48512d3
Time: Deportes Tolima (M), Código: 9c4c0cc1
Time: Dinamo Zagreb (M), Código: edd0d381
Time: Slavia Prague (M), Código: 111cbfb1
Time: FC Copenhagen (M), Código: 18050b20
Time: Independiente del Valle (M), Código: 990519b8
Time: KuPS (M), Código: e6f63673
Time: Olympiacos (M), Código: 2fdb4aef
Time: Ferencváros (M), Código: 6611f992
Time: Mohun Bagan (M), Código: 5c7eb1c7
Time: Persepolis (M), Código: 95f42e44
Time: Vissel Kobe (M), Código: 66f38ee7
Time: Ulsan Hyundai FC (M), Código: 4372a20b
Time: Al-Hilal (M), Código: 972e2539
Time: América (M), Código: 18d3c3a3
Time: PSV Eindhoven (M), Código: e334d850
Time: Bodø/Glimt (M), Código: d86248bd
Time: Libertad (M), Código: ae107695
Time: Sporting Cristal (M), Código: 8917b8a9
Time: Raków Częstochowa (M), Código: e0b3aa47
Time: Sporting CP (M), Código: 13dc44fd
Time: FCSB (M), Código: aed59852
Time: Mamelodi Sundowns (M), Código: 97d80fef
Time: Zenit (M), Código: 98ce363d
Time: Celtic (M), Código: b81aa4fa
